Formula,Algorithm,Clauses Prop,Time
288,Local Search,0.9696,0.3867
288,Genetic,0.9761,8.2626
288,DPLL,,1.219
289,Local Search,0.9765,0.5404
289,Genetic,0.9765,9.5053
289,DPLL,,2.0833
290,Local Search,0.97,0.5151
290,Genetic,0.9796,7.0423
290,DPLL,,4.663
291,Local Search,0.9687,0.3422
291,Genetic,0.9713,6.6177
291,DPLL,,4.9141
292,Local Search,0.9757,0.3116
292,Genetic,0.9722,6.918
292,DPLL,,3.3082
293,Local Search,0.9748,0.3308
293,Genetic,0.9813,7.2297
293,DPLL,,3.2112
294,Local Search,0.9774,0.3021
294,Genetic,0.9817,7.5159
294,DPLL,,0.0018
295,Local Search,0.9743,0.3148
295,Genetic,0.9783,8.4717
295,DPLL,,0.8618
296,Local Search,0.9674,0.4114
296,Genetic,0.9791,9.5527
296,DPLL,,0.0003
297,Local Search,0.9752,0.602
297,Genetic,0.9735,5.3327
297,DPLL,,7.0369
298,Local Search,0.9696,0.2368
298,Genetic,0.9757,4.7341
298,DPLL,,0.9043
299,Local Search,0.9752,0.2896
299,Genetic,0.9735,4.7721
299,DPLL,,0.0
