Formula,Algorithm,Clauses Prop,Time
186,DPLL,,4.73
187,Local Search,0.98,0.247
187,Genetic,0.98,5.2
187,DPLL,,0.048
188,Local Search,0.97,0.268
188,Genetic,0.98,5.227
188,DPLL,,0.001
189,Local Search,0.97,0.226
189,Genetic,0.98,5.248
189,DPLL,,7.002
190,Local Search,0.98,0.231
190,Genetic,0.98,5.254
190,DPLL,,3.73
191,Local Search,0.97,0.245
191,Genetic,0.98,5.215
191,DPLL,,2.861
192,Local Search,0.97,0.263
192,Genetic,0.98,5.2
192,DPLL,,4.164
193,Local Search,0.97,0.257
193,Genetic,0.97,5.976
193,DPLL,,2.585
194,Local Search,0.97,0.271
194,Genetic,0.98,5.623
194,DPLL,,2.77
195,Local Search,0.97,0.255
195,Genetic,0.97,5.398
195,DPLL,,2.449
196,Local Search,0.97,0.242
196,Genetic,0.98,5.245
196,DPLL,,3.63
197,Local Search,0.97,0.251
197,Genetic,0.98,5.279
197,DPLL,,4.196
198,Local Search,0.97,0.239
198,Genetic,0.98,5.252
198,DPLL,,3.562
199,Local Search,0.97,0.227
199,Genetic,0.98,5.308
199,DPLL,,4.678
200,Local Search,0.98,0.272
200,Genetic,0.98,5.419
200,DPLL,,1.817
201,Local Search,0.97,0.27
201,Genetic,0.98,5.431
201,DPLL,,3.238
202,Local Search,0.97,0.285
202,Genetic,0.98,5.368
202,DPLL,,5.368
203,Local Search,0.97,0.285
203,Genetic,0.97,5.444
203,DPLL,,1.285
204,Local Search,0.97,0.239
204,Genetic,0.98,5.408
204,DPLL,,2.048
205,Local Search,0.98,0.277
205,Genetic,0.98,5.338
205,DPLL,,1.966
206,Local Search,0.97,0.287
206,Genetic,0.98,5.404
206,DPLL,,0.0
207,Local Search,0.98,0.289
207,Genetic,0.97,5.421
207,DPLL,,4.683
208,Local Search,0.97,0.238
208,Genetic,0.97,5.384
208,DPLL,,1.793
209,Local Search,0.97,0.253
209,Genetic,0.97,5.321
209,DPLL,,3.397
210,Local Search,0.98,0.293
210,Genetic,0.98,5.389
210,DPLL,,2.206
211,Local Search,0.97,0.271
211,Genetic,0.97,5.4
211,DPLL,,4.028
212,Local Search,0.98,0.275
212,Genetic,0.98,5.404
212,DPLL,,4.435
213,Local Search,0.98,0.256
213,Genetic,0.98,5.37
213,DPLL,,2.824
214,Local Search,0.98,0.257
214,Genetic,0.98,5.385
214,DPLL,,5.879
215,Local Search,0.97,0.258
215,Genetic,0.97,5.356
215,DPLL,,2.897
216,Local Search,0.98,0.282
216,Genetic,0.98,5.402
216,DPLL,,2.105
217,Local Search,0.98,0.284
217,Genetic,0.98,5.394
217,DPLL,,0.002
218,Local Search,0.97,0.226
218,Genetic,0.98,5.342
218,DPLL,,4.075
219,Local Search,0.97,0.302
219,Genetic,0.97,5.392
219,DPLL,,3.507
220,Local Search,0.97,0.262
220,Genetic,0.98,5.413
220,DPLL,,1.012
221,Local Search,0.98,0.285
221,Genetic,0.97,5.489
221,DPLL,,3.001
222,Local Search,0.97,0.271
222,Genetic,0.98,5.514
222,DPLL,,2.986
223,Local Search,0.98,0.265
223,Genetic,0.98,5.477
223,DPLL,,2.053
224,Local Search,0.97,0.256
224,Genetic,0.97,5.478
224,DPLL,,2.703
225,Local Search,0.97,0.245
225,Genetic,0.97,5.395
225,DPLL,,4.371
226,Local Search,0.97,0.226
226,Genetic,0.97,5.447
226,DPLL,,4.229
227,Local Search,0.98,0.291
